aeb-gazebo  | [scenario_controller.py-3] [INFO] [1777935686.812552556] [scenario_controller]: t=5.0s  d=8.6m  v_ego=31.7km/h  brake=40%  FSM=BRAKE_L2
aeb-ecu  | [00:00:00.000,000] <inf> aeb_main: c=1800 st=1 ttc=10.0 brk=0% d=34.1 v=3.7 flt=0 to=0
aeb-ecu  | [00:00:00.000,000] <inf> aeb_main: c=1850 st=1 ttc=10.0 brk=0% d=35.3 v=3.7 flt=0 to=0
aeb-ecu  | [00:00:00.000,000] <inf> aeb_main: c=1900 st=1 ttc=10.0 brk=0% d=36.2 v=3.7 flt=0 to=0
aeb-ecu  | [00:00:00.000,000] <inf> aeb_main: c=1950 st=1 ttc=10.0 brk=0% d=37.2 v=3.7 flt=0 to=0
aeb-ecu  | [00:00:00.000,000] <inf> aeb_main: c=2000 st=1 ttc=10.0 brk=0% d=37.8 v=3.7 flt=0 to=0
aeb-ecu  | [00:00:00.000,000] <inf> aeb_main: c=2050 st=1 ttc=10.0 brk=0% d=38.8 v=3.7 flt=0 to=0
aeb-ecu  | [00:00:00.000,000] <inf> aeb_main: c=2100 st=1 ttc=10.0 brk=0% d=40.0 v=3.7 flt=0 to=0
aeb-ecu  | [00:00:00.000,000] <inf> aeb_main: c=2150 st=1 ttc=10.0 brk=0% d=40.5 v=3.7 flt=0 to=0
aeb-ecu  | [00:00:00.000,000] <inf> aeb_main: c=2200 st=1 ttc=10.0 brk=0% d=41.5 v=3.7 flt=0 to=0
aeb-ecu  | [00:00:00.000,000] <inf> aeb_main: c=2250 st=1 ttc=10.0 brk=0% d=42.4 v=3.7 flt=0 to=0
